2025-01-16 04:46:44,995 - INFO - Checkpoint loaded successfully from Connect4_Agent_Model.pth. Starting at episode 2500.
2025-01-16 04:46:44,995 - INFO - TOTAL_EPISODES adjusted to 97500 after subtracting 2500.
2025-01-16 04:46:45,011 - INFO - Episode 2501/97500: Winner=2, Reward=-0.85, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:45,245 - INFO - Episode 2502/97500: Winner=2, Reward=3.05, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:45,542 - INFO - Episode 2503/97500: Winner=2, Reward=-11.20, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:45,760 - INFO - Episode 2504/97500: Winner=2, Reward=-4.55, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:45,854 - INFO - Episode 2505/97500: Winner=2, Reward=7.65, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:46,042 - INFO - Episode 2506/97500: Winner=2, Reward=-7.75, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:46,276 - INFO - Episode 2507/97500: Winner=2, Reward=-14.85, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:46,417 - INFO - Episode 2508/97500: Winner=2, Reward=0.90, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:46,682 - INFO - Episode 2509/97500: Winner=2, Reward=2.95, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:46,807 - INFO - Episode 2510/97500: Winner=2, Reward=-8.75, EPSILON=1.000, (W=1,D=0,L=0)
2025-01-16 04:46:47,041 - INFO - Episode 2511/97500: Winner=2, Reward=-14.30, EPSILON=1.000, (W=2,D=0,L=0)
2025-01-16 04:46:47,135 - INFO - Episode 2512/97500: Winner=2, Reward=1.05, EPSILON=1.000, (W=2,D=0,L=0)
2025-01-16 04:46:47,416 - INFO - Episode 2513/97500: Winner=2, Reward=-7.75, EPSILON=1.000, (W=2,D=0,L=0)
2025-01-16 04:46:47,697 - INFO - Episode 2514/97500: Winner=2, Reward=-36.75, EPSILON=1.000, (W=2,D=0,L=0)
2025-01-16 04:46:47,932 - INFO - Episode 2515/97500: Winner=2, Reward=-23.40, EPSILON=1.000, (W=3,D=0,L=0)
2025-01-16 04:46:48,197 - INFO - Episode 2516/97500: Winner=2, Reward=-16.50, EPSILON=1.000, (W=4,D=0,L=0)
2025-01-16 04:46:48,291 - INFO - Episode 2517/97500: Winner=2, Reward=0.45, EPSILON=1.000, (W=4,D=0,L=0)
2025-01-16 04:46:48,619 - INFO - Episode 2518/97500: Winner=2, Reward=-70.95, EPSILON=1.000, (W=5,D=0,L=0)
2025-01-16 04:46:48,791 - INFO - Episode 2519/97500: Winner=2, Reward=23.35, EPSILON=1.000, (W=5,D=0,L=0)
2025-01-16 04:46:48,947 - INFO - Episode 2520/97500: Winner=2, Reward=-0.90, EPSILON=1.000, (W=5,D=0,L=0)
2025-01-16 04:46:49,103 - INFO - Episode 2521/97500: Winner=2, Reward=-13.75, EPSILON=1.000, (W=6,D=0,L=0)
2025-01-16 04:46:49,416 - INFO - Episode 2522/97500: Winner=2, Reward=-49.15, EPSILON=1.000, (W=7,D=0,L=0)
2025-01-16 04:46:49,650 - INFO - Episode 2523/97500: Winner=2, Reward=-8.20, EPSILON=1.000, (W=8,D=0,L=0)
